"","farm","address"
"1","Chilly Hollow Christmas Tree Farm","1642 Chilly Hollow Rd, Berryville, VA 22611"
"2","Loudounberry Farm and Garden","14917 James Monroe Hwy, Leesburg, VA 20176"
"3","Eagles Sugar Camp","5503 Jack Mountain Rd, Doe Hill, VA 24433"
"4","Fair Lawn Farm","3118 Mill Gap Road, Monterey, VA 24465"
"5","Laurel Fork Sapsuckers","10677 Mountain Turnpike, Hightown, VA 24465"
"6","Rexrode Maple Sugar Orchard","1564 Maple Sugar Rd, Monterey, VA 24465"
"7","Southernmost Maple","7738 Big Valley Rd, Bolar, VA 24484"
"8","Tri","555 14th Street W, Huntington, WV 25704"
"9","Boone's Bees and Trees","659 Hoard Rd, Morgantown, WV 26508"
"10","Schrader Center Oglebay Institute","465 Lodge Dr, Wheeling, WV 26003"
"11","Ridgeview Blueberries","1475 M-222, Martin, MI 49078"
"12","Pleasant Meadows Farms","5602 Moyer Road, Charlotte, MI 48813"
"13","Corey Lake Orchards","12147 Corey Lake Rd, Three Rivers, MI 49093"
"14","Adams Farms","69676 CR 376, Hartford, MI 49057"
"15","Brookside Farms","34448 44th Avenue, Paw Paw, MI 49079"
"16","Brookside Farms","37988 Co Rd 388, Gobles, MI 49055"
"17","Kal","00500 Cr 687, South Haven, MI 49090"
"18","Shawhaven Farm","1826 Rolfe Roas, Mason, MI 48854"
"19","Gust Brother's Pumpkin Farm","13639 Mulberry Road, Ottawa Lake, MI 49267"
"20","Dinkelville Melons Farmers Market","1006 West Schafer Road, Howell, MI 48843. Phone: 517-548-4133. Alternate Phone: 517-546-4838. Email: dinkelville@yahoo.com. Open:daily starting the middle of July through September 8am to 7pm. Click here for current open hours, days and dates. Directions: From Howell - Take D19 south 6 miles to Schafer road (look for the Shell station) turn right ( west ) go 1/2 mile. Look for the big white barn. We are on the right side ( north side). 1006 W. Schafer Rd, Howell, MI 48843"
"21","Apple Charlies","38035 S. Huron, New Boston, MI 48164"
"22","Michigan Farm Fresh Produce Market","11507 S. Rodgers Avenue, Clare, MI 48617"
"23","Pierson Orchards Market","5523 North State Road, Orleans, MI 48865"
"24","Doodle's Sugarbush, LLC","10566 South Johnson Road, Blanchard, MI 49310"
"25","Montrose Orchards, Inc.","12473 Seymour Rd, Montrose, MI 48457"
"26","Jacques Orchard","2275 N Iva Rd, Hemlock, MI 48626"
"27","Lown family maple syrup","50 miles, Maple Syrup from trees on the farm, Cell service cell phones work here, No dogs allowed except for service animals332 East Center Road, Kingsley, MI 49649"
"28","Jasper's Sugar Bush","1867 W County Road 374, Carney, MI 49812"
"29","Goss Farm","446 Pleasant Street, Dunstable, MA 01827"
"30","Land's Sake Farm","90 Wellesley Street, Weston, MA 02493"
"31","Millers Family Farm","500 Allen Avenue, North Attleboro, MA 02760"
"32","Hollis Hills Farm","340 Marshall Road, Fitchburg, MA 01420"
"33","Lanni Orchards Inc","294 Chase Rd, Lunenburg, MA 01462"
"34","Rota Spring Farm","117 Chace Hill Rd, Sterling, MA 01564"
"35","Riiska Brook Orchard","101 New Hartford Road, Sandisfield, MA 01255"
"36","Whitney's Farm Market & Garden Center","1775 South State Road, Cheshire, MA 01225"
"37","Quonquont Farm and Orchard","9 North Street, Whately, MA 01093"
"38","Justamere Tree Farm","248 Patterson Rd, Worthington, MA 01098. Phone: (413) 238-5902. Email: info@justameretreefarm.com. Open: 9:00am to 4:00pm the Friday, Saturday, and Sunday after Thanksgiving, and 9:00 am to 4:00 pm, Saturdays and Sundays in December. Directions: Justamere Tree Farm Choose & Cut: 248 Patterson Road Worthington, MA 01098"
"39","South Hadley Farm","10 Pearle Lane, South Hadley, MA 01075"
"40","Lone Star Farmers Market","12700 Hill Country Blvd, Bee Cave, TX 78738"
"41","Brungot Farms","502 S. Mt. Rushmore Dr., Cedar Park, TX 78613"
"42","Paupack Blueberry Farm","184 Gumbletown Road, Paupack, PA 18451"
"43","Penn","2531 State Route 848, New Milford, PA 18834"
"44","The Stevens' Farm","652 Sterling Rd Rt 196, Sterling, Sterling, PA 18463"
"45","Rudy's Christmas Tree Farm","3 Narrow Road at the intersection of Route 849, New Bloomfield, PA 17068"
"46","Wiseguys","17540 Fairview Rd, Mc Clure, PA 17841"
"47","Triple B Farms","823 Berry Lane, Monongahela, PA 15063"
"48","Blueberry Hill Farm","10160 Route 322, Reynoldsville, PA 15851"
"49","Roseum Maple Syrup","4331 Bulltown Road, Murrysville, PA 15668"
"50","TM Organic Produce","283 Mcquaide Dr, Saltsburg , PA 15681"
"51","Howles Maple Farm","27828 Patterson Road, Guys Mills, PA 16327"
"52","How Sweet It Is","19868 Greenleaf Drive, Saegertown, PA 16433"
"53","Riverside Brewing Company","1 Fountain Street, Cambridge Springs, PA 16403"
"54","Sleepy Creek Honey and Maple Syrup","22399 Cemetery Rd., Venango, PA 16440"
"55","The Willows at Little Conneauttee","24507 Highway 99|, Cambridge Springs, PA 16403"
"56","Agape Pond Farm","8230 Shreve Road, Union City, PA 16438. Phone: 814-438-2701. Email: al@agapepond.com. Open: every day from dawn to dusk. Directions: Click here for a map and directions. Payment: Cash, Check. . We sell our Delicious & Healthy Farm Products at: NICKEL PLATE MILLS, 1932 Parade Street, Erie, PA 16503"
"57","Ft. LeBoeuf Maple","2789 Dublin Rd, Waterford, PA 16441"
"58","Maple Lane Maple Products","9437 Phillips Rd, Union City, PA 16438"
"59","Shumake’s Sugar Shack","11401 Hilltop Rd, Albion, PA 16401"
"60","Squirrel Creek Maple Products","9404 West Lake Rd, Lake City, PA 16423"
"61","Triple Creek Maple LLC","9225 Fillinger Road, Cranesville, PA 16410"
"62","Yatzor’s Maple Products","5860 Koman Rd., Edinboro, PA 16412"
"63","Angove's Farm","1057 Akeley Rd., Russell, PA 16345"
"64","Maple Ridge Farms","1920 Fox Hill Rd, Russell, PA 16345"
"65","Heinies Market","11801 W 44th Ave, Wheat Ridge, CO 80033"
"66","Fresh Air Fund Maple Farm","436 Van Wyck Lake Road, Fishkill, NY 12524"
"67","Soukup Farm","271 Halls Corners Road, Dover Plains, NY 12522"
"68","Finding Home Farms, LLC","140 Eatontown R, Middletown, NY 10940"
"69","Catskill Mountain Sugar House","10 Sugarhouse Lane, Grahamsville, NY 12740"
"70","Justus Asthalter Maple Syrup, Inc.","865 Aden Road., Parksville, NY 12768"
